罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,北,北三十条,11029,北海道,札幌市北区,北３３条西４丁目,2018/8/3,7,駐車（輪）場,その他
窃盗,部品ねらい,北,新川,11029,北海道,札幌市北区,北２７条西１５丁目,2018/8/2,17,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,北,新川,11029,北海道,札幌市北区,新川,2018/5/14,19,その他,カーナビ
窃盗,部品ねらい,北,新川,11029,北海道,札幌市北区,新川,2018/9/5,18,その他,その他
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路３条９丁目,2018/9/18,21,その他,その他
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路４条１丁目,2018/2/1,不明,道路上,ナンバープレート
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路８条４丁目,2018/6/4,22,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路９条４丁目,2018/9/7,11,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路町上篠路,2018/3/27,17,道路上,その他
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路町上篠路,2018/9/13,20,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,北,篠路,11029,北海道,札幌市北区,篠路町篠路,2018/9/1,18,その他,その他
窃盗,部品ねらい,北,花川南,12351,北海道,石狩市,花川南２条６丁目,2018/10/1,18,一戸建住宅,その他
窃盗,部品ねらい,北,花川南,12351,北海道,石狩市,花川南１０条１丁目,2018/8/29,20,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,北,花川北,12351,北海道,石狩市,新港南１丁目,2018/6/11,8,駐車（輪）場,その他
窃盗,部品ねらい,北,花川北,12351,北海道,石狩市,花川北２条５丁目,2018/10/5,19,その他,その他
窃盗,部品ねらい,北,花川北,12351,北海道,石狩市,花川東,2018/9/1,不明,その他,ナンバープレート
窃盗,部品ねらい,北,花川北,12351,北海道,石狩市,花畔,2018/9/14,19,その他,その他
窃盗,部品ねらい,北,花川北,12351,北海道,石狩市,緑苑台東３条３丁目,2018/12/5,19,一戸建住宅,ナンバープレート
窃盗,部品ねらい,北,屯田,11029,北海道,札幌市北区,屯田６条６丁目,2018/7/3,10,その他,タイヤ・ホイール
窃盗,部品ねらい,北,太平,11029,北海道,札幌市北区,篠路町太平,2018/11/8,15,その他,タイヤ・ホイール
窃盗,部品ねらい,北,太平,11029,北海道,札幌市北区,太平２条３丁目,2018/7/4,20,その他,タイヤ・ホイール
窃盗,部品ねらい,北,茨戸,11029,北海道,札幌市北区,西茨戸６条１丁目,2018/12/14,12,一戸建住宅,ナンバープレート
窃盗,部品ねらい,北,麻生,11029,北海道,札幌市北区,麻生町５丁目,2018/9/14,8,駐車（輪）場,その他
窃盗,部品ねらい,北,麻生,11029,北海道,札幌市北区,麻生町６丁目,2018/7/16,21,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,北,新光,11029,北海道,札幌市北区,新川４条８丁目,2018/6/9,21,一戸建住宅,ナンバープレート
窃盗,部品ねらい,北,新光,11029,北海道,札幌市北区,新川,2018/6/9,18,その他,その他
窃盗,部品ねらい,北,新光,11029,北海道,札幌市北区,新琴似２条１３丁目,2018/11/7,17,その他,その他
窃盗,部品ねらい,北,新光,11029,北海道,札幌市北区,新川６条１５丁目,2018/3/31,16,駐車（輪）場,その他
窃盗,部品ねらい,北,新光,11029,北海道,札幌市北区,新川西１条１丁目,2018/8/3,17,駐車（輪）場,その他
窃盗,部品ねらい,北,新光,11029,北海道,札幌市北区,新川西３条５丁目,2018/7/29,15,その他,その他
窃盗,部品ねらい,豊平,旭,11053,北海道,札幌市豊平区,豊平５条１１丁目,2018/6/30,8,駐車（輪）場,その他
窃盗,部品ねらい,豊平,美園,11053,北海道,札幌市豊平区,美園２条２丁目,2018/12/9,18,４階建て以上共同住宅,その他
窃盗,部品ねらい,豊平,美園,11053,北海道,札幌市豊平区,美園４条６丁目,2018/4/8,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,豊平,美園,11053,北海道,札幌市豊平区,美園７条３丁目,2018/8/17,0,駐車（輪）場,その他
窃盗,部品ねらい,豊平,中の島,11053,北海道,札幌市豊平区,中の島１条１丁目,2018/4/7,18,駐車（輪）場,その他
窃盗,部品ねらい,豊平,南平岸,11053,北海道,札幌市豊平区,平岸５条１３丁目,2018/11/15,0,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,豊平,南平岸,11053,北海道,札幌市豊平区,平岸６条１４丁目,2018/10/6,18,駐車（輪）場,その他
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒西２条７丁目,2018/12/9,23,４階建て以上共同住宅,カーナビ
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒西２条９丁目,2018/12/10,18,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒西２条９丁目,2018/12/10,20,４階建て以上共同住宅,カーナビ
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒西２条９丁目,2018/12/10,22,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒東２条４丁目,2018/10/22,12,駐車（輪）場,その他
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒東３条９丁目,2018/12/10,19,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,豊平,月寒,11053,北海道,札幌市豊平区,月寒東５条１０丁目,2018/7/22,21,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,豊平,東月寒,11053,北海道,札幌市豊平区,月寒東１条１８丁目,2018/11/1,21,その他,タイヤ・ホイール
窃盗,部品ねらい,豊平,清田,11100,北海道,札幌市清田区,有明,2018/3/9,17,その他,その他
窃盗,部品ねらい,豊平,北野,11100,北海道,札幌市清田区,北野２条１丁目,2018/12/17,19,一戸建住宅,カーナビ
窃盗,部品ねらい,豊平,中央通,11100,北海道,札幌市清田区,里塚１条３丁目,2018/6/6,18,一戸建住宅,その他
窃盗,部品ねらい,豊平,中央通,11100,北海道,札幌市清田区,里塚１条４丁目,2018/4/25,16,その他,ナンバープレート
窃盗,部品ねらい,豊平,中央通,11100,北海道,札幌市清田区,里塚２条１丁目,2018/8/13,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,豊平,中央通,11100,北海道,札幌市清田区,平岡３条５丁目,2018/6/9,17,駐車（輪）場,その他
窃盗,部品ねらい,豊平,中央通,11100,北海道,札幌市清田区,平岡３条５丁目,2018/11/18,19,その他,タイヤ・ホイール
窃盗,部品ねらい,豊平,福住,11053,北海道,札幌市豊平区,月寒東１条１３丁目,2018/4/17,7,駐車（輪）場,その他
窃盗,部品ねらい,豊平,福住,11053,北海道,札幌市豊平区,西岡３条１１丁目,2018/8/3,15,一戸建住宅,その他
窃盗,部品ねらい,豊平,福住,11053,北海道,札幌市豊平区,羊ケ丘,2018/8/29,7,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,豊平,美しが丘,11100,北海道,札幌市清田区,美しが丘３条５丁目,2018/5/10,17,駐車（輪）場,その他
窃盗,部品ねらい,豊平,美しが丘,11100,北海道,札幌市清田区,美しが丘４条６丁目,2018/4/18,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,豊平,美しが丘,11100,北海道,札幌市清田区,美しが丘４条６丁目,2018/7/1,22,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,豊平,美しが丘,11100,北海道,札幌市清田区,真栄１条２丁目,2018/9/10,19,駐車（輪）場,その他
窃盗,部品ねらい,豊平,美しが丘,11100,北海道,札幌市清田区,真栄１条２丁目,2018/9/24,13,駐車（輪）場,その他
窃盗,部品ねらい,豊平,緑ヶ丘,11100,北海道,札幌市清田区,里塚緑ケ丘１２丁目,2018/2/23,1,その他,ナンバープレート
窃盗,部品ねらい,豊平,緑ヶ丘,11100,北海道,札幌市清田区,平岡公園東８丁目,2018/4/27,14,駐車（輪）場,その他
窃盗,部品ねらい,厚別,信濃,11088,北海道,札幌市厚別区,厚別町山本,2018/2/5,7,その他,ナンバープレート
窃盗,部品ねらい,厚別,信濃,11088,北海道,札幌市厚別区,厚別町山本,2018/4/15,17,その他,ナンバープレート
窃盗,部品ねらい,厚別,信濃,11088,北海道,札幌市厚別区,厚別西４条１丁目,2018/11/12,16,一戸建住宅,その他
窃盗,部品ねらい,厚別,森林公園,11088,北海道,札幌市厚別区,厚別東５条２丁目,2018/3/2,7,駐車（輪）場,その他
窃盗,部品ねらい,厚別,ひばりヶ丘,11088,北海道,札幌市厚別区,厚別中央１条４丁目,2018/8/1,2,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,厚別,ひばりヶ丘,11088,北海道,札幌市厚別区,大谷地東４丁目,2018/1/3,17,駐車（輪）場,その他
窃盗,部品ねらい,厚別,上野幌,11088,北海道,札幌市厚別区,上野幌３条１丁目,2018/7/20,19,駐車（輪）場,なし
窃盗,部品ねらい,厚別,新札幌,11088,北海道,札幌市厚別区,厚別中央１条５丁目,2018/9/19,17,駐車（輪）場,その他
窃盗,部品ねらい,厚別,新札幌,11088,北海道,札幌市厚別区,厚別中央１条５丁目,2018/9/29,14,駐車（輪）場,その他
窃盗,部品ねらい,厚別,もみじ台,11088,北海道,札幌市厚別区,もみじ台北６丁目,2018/8/19,22,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,厚別,もみじ台,11088,北海道,札幌市厚別区,もみじ台東２丁目,2018/9/29,15,一戸建住宅,ナンバープレート
窃盗,部品ねらい,厚別,もみじ台,11088,北海道,札幌市厚別区,もみじ台東３丁目,2018/7/6,18,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,厚別,もみじ台,11088,北海道,札幌市厚別区,もみじ台東５丁目,2018/7/2,19,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,厚別,もみじ台,11088,北海道,札幌市厚別区,もみじ台南５丁目,2018/10/26,17,駐車（輪）場,その他
窃盗,部品ねらい,厚別,北広島,12343,北海道,北広島市,北の里,2018/1/20,14,その他,ナンバープレート
窃盗,部品ねらい,厚別,北広島,12343,北海道,北広島市,共栄,2017/12/28,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,厚別,北広島駅前,12343,北海道,北広島市,栄町１丁目,2018/7/4,15,駐車（輪）場,その他
窃盗,部品ねらい,厚別,大曲,12343,北海道,北広島市,大曲柏葉５丁目,2018/1/29,17,その他,その他
窃盗,部品ねらい,厚別,大曲,12343,北海道,北広島市,大曲並木１丁目,2018/11/23,20,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,厚別,輪厚,12343,北海道,北広島市,島松,2018/5/30,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,厚別,西の里,12343,北海道,北広島市,西の里,2018/9/7,1,その他,その他
窃盗,部品ねらい,手稲,手稲,11096,北海道,札幌市手稲区,手稲本町１条３丁目,2018/7/20,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,手稲,手稲,11096,北海道,札幌市手稲区,富丘６条４丁目,2018/8/2,19,一戸建住宅,その他
窃盗,部品ねらい,手稲,前田,11096,北海道,札幌市手稲区,曙３条２丁目,2018/12/25,1,その他の住宅（３階建て以下共同住宅等）,カーナビ
窃盗,部品ねらい,手稲,前田,11096,北海道,札幌市手稲区,前田７条１８丁目,2018/10/12,18,道路上,ナンバープレート
窃盗,部品ねらい,手稲,前田,11096,北海道,札幌市手稲区,前田７条１８丁目,2018/10/13,20,その他,ナンバープレート
窃盗,部品ねらい,手稲,前田,11096,北海道,札幌市手稲区,前田１０条１１丁目,2018/3/9,23,一戸建住宅,その他
窃盗,部品ねらい,手稲,手稲山口,11096,北海道,札幌市手稲区,明日風１丁目,2018/7/28,21,一戸建住宅,その他
窃盗,部品ねらい,手稲,西宮の沢,11096,北海道,札幌市手稲区,西宮の沢３条１丁目,2018/9/4,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,手稲,西宮の沢,11096,北海道,札幌市手稲区,西宮の沢４条２丁目,2018/10/18,21,その他,その他
窃盗,部品ねらい,手稲,西宮の沢,11096,北海道,札幌市手稲区,西宮の沢４条３丁目,2018/10/18,15,駐車（輪）場,その他
窃盗,部品ねらい,手稲,西宮の沢,11096,北海道,札幌市手稲区,西宮の沢５条１丁目,2018/8/16,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,手稲,稲積,11096,北海道,札幌市手稲区,新発寒６条９丁目,2018/8/26,16,一戸建住宅,ナンバープレート
窃盗,部品ねらい,手稲,稲積,11096,北海道,札幌市手稲区,新発寒６条１０丁目,2018/12/11,12,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,手稲,稲積,11096,北海道,札幌市手稲区,前田１条５丁目,2018/9/28,6,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,手稲,稲積,11096,北海道,札幌市手稲区,前田３条７丁目,2018/11/22,21,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,手稲,星置,11096,北海道,札幌市手稲区,曙１１条１丁目,2018/8/19,14,４階建て以上共同住宅,なし
窃盗,部品ねらい,函館中央,駒場,12025,北海道,函館市,湯川町２丁目,2018/3/31,20,その他,その他
窃盗,部品ねらい,函館中央,日吉,12025,北海道,函館市,日吉町２丁目,2018/8/2,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,函館中央,本町,12025,北海道,函館市,千代台町,2018/9/16,17,その他,その他
窃盗,部品ねらい,函館中央,本町,12025,北海道,函館市,時任町,2018/4/10,14,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,函館中央,本町,12025,北海道,函館市,時任町,2018/5/25,14,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,函館中央,湯川,12025,北海道,函館市,榎本町,2018/7/4,21,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,函館中央,湯川,12025,北海道,函館市,高丘町,2018/3/16,18,一戸建住宅,その他
窃盗,部品ねらい,函館中央,富岡,12025,北海道,函館市,富岡町２丁目,2017/12/11,不明,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,函館中央,桔梗,12025,北海道,函館市,西桔梗町,2018/4/9,18,その他,その他
窃盗,部品ねらい,函館中央,鍛神,12025,北海道,函館市,中道２丁目,2018/4/7,17,一戸建住宅,ナンバープレート
窃盗,部品ねらい,函館中央,大野,12360,北海道,北斗市,市渡１丁目,2018/4/19,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,函館中央,大野,12360,北海道,北斗市,開発,2018/4/20,22,その他,タイヤ・ホイール
窃盗,部品ねらい,函館中央,大野,12360,北海道,北斗市,開発,2018/7/21,18,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,函館中央,大野,12360,北海道,北斗市,本郷２丁目,2018/5/14,18,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,函館中央,戸井西,12025,北海道,函館市,瀬田来町,2018/7/20,12,その他,その他
窃盗,部品ねらい,函館中央,石崎,12025,北海道,函館市,石崎町,2017/4/11,8,その他,その他
窃盗,部品ねらい,函館中央,北斗,12360,北海道,北斗市,添山,2018/7/1,13,その他,タイヤ・ホイール
窃盗,部品ねらい,函館中央,北斗,12360,北海道,北斗市,添山,2018/9/16,10,駐車（輪）場,その他
窃盗,部品ねらい,函館中央,七重浜,12360,北海道,北斗市,七重浜４丁目,2018/12/9,0,その他,カーナビ
窃盗,部品ねらい,函館中央,七重浜,12360,北海道,北斗市,七重浜７丁目,2018/3/28,16,その他,カーナビ
窃盗,部品ねらい,函館中央,昭和,12025,北海道,函館市,西桔梗町,2018/12/25,14,駐車（輪）場,その他
窃盗,部品ねらい,函館中央,東山,12025,北海道,函館市,陣川町,2018/4/24,8,その他,その他
窃盗,部品ねらい,函館中央,東山,12025,北海道,函館市,陣川町,2018/8/21,18,その他,その他
窃盗,部品ねらい,函館中央,東山,12025,北海道,函館市,本通２丁目,2018/6/18,10,道路上,その他
窃盗,部品ねらい,函館中央,東山,12025,北海道,函館市,東山３丁目,2018/7/31,15,一戸建住宅,ナンバープレート
窃盗,部品ねらい,函館中央,東山,12025,北海道,函館市,東山３丁目,2018/9/23,1,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,函館中央,美原,12025,北海道,函館市,神山１丁目,2018/4/18,13,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,函館西,函館駅前,12025,北海道,函館市,,2018/2/11,18,その他,その他
窃盗,部品ねらい,函館西,函館駅前,12025,北海道,函館市,海岸町,2018/5/7,17,その他,その他
窃盗,部品ねらい,函館西,函館駅前,12025,北海道,函館市,海岸町,2018/12/24,16,道路上,ナンバープレート
窃盗,部品ねらい,函館西,函館駅前,12025,北海道,函館市,若松町,2018/7/9,16,その他,その他
窃盗,部品ねらい,函館西,万代,12025,北海道,函館市,万代町,2018/1/6,19,その他,その他
窃盗,部品ねらい,函館西,港,12025,北海道,函館市,港町３丁目,2018/4/23,15,駐車（輪）場,その他
窃盗,部品ねらい,森,署所在地,13455,北海道,森町,,2018/2/13,16,その他,その他
窃盗,部品ねらい,森,石谷,13455,北海道,森町,字蛯谷町,2018/11/18,10,その他,その他
窃盗,部品ねらい,八雲,署所在地,13463,北海道,八雲町,豊河町,2018/10/7,23,道路上,ナンバープレート
窃盗,部品ねらい,木古内,署所在地,13340,北海道,木古内町,字大川,2018/6/23,17,その他,その他
窃盗,部品ねらい,江差,水堀,13617,北海道,江差町,字水堀町,2018/2/2,17,その他,その他
窃盗,部品ねらい,寿都,黒松内,13935,北海道,黒松内町,字黒松内,2018/1/23,17,一戸建住宅,その他
窃盗,部品ねらい,旭川中央,駅前,12041,北海道,旭川市,宮下通８丁目,2018/2/1,不明,その他,その他
窃盗,部品ねらい,旭川中央,駅前,12041,北海道,旭川市,宮下通８丁目,2018/2/1,不明,その他,その他
窃盗,部品ねらい,旭川中央,駅前,12041,北海道,旭川市,宮下通８丁目,2018/3/18,不明,その他,その他
窃盗,部品ねらい,旭川中央,駅前,12041,北海道,旭川市,宮下通８丁目,2018/3/18,不明,その他,その他
窃盗,部品ねらい,旭川中央,駅前,12041,北海道,旭川市,宮下通８丁目,2018/7/7,11,駐車（輪）場,その他
窃盗,部品ねらい,旭川中央,七条通,12041,北海道,旭川市,６条通１４丁目,2018/7/23,16,駐車（輪）場,その他
窃盗,部品ねらい,旭川中央,大町,12041,北海道,旭川市,大町１条１４丁目,2018/4/29,18,道路上,その他
窃盗,部品ねらい,旭川中央,春光,12041,北海道,旭川市,末広１条２丁目,2018/8/13,12,一戸建住宅,その他
窃盗,部品ねらい,旭川中央,春光,12041,北海道,旭川市,末広８条２丁目,2018/6/4,8,その他,その他
窃盗,部品ねらい,旭川中央,春光,12041,北海道,旭川市,春光６条８丁目,2018/9/1,16,道路上,ナンバープレート
窃盗,部品ねらい,旭川中央,神居,12041,北海道,旭川市,神居２条１３丁目,2018/11/2,21,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,旭川中央,神居,12041,北海道,旭川市,神居４条１丁目,2018/1/10,13,その他,ナンバープレート
窃盗,部品ねらい,旭川中央,神居,12041,北海道,旭川市,神居４条１丁目,2018/1/19,11,その他,ナンバープレート
窃盗,部品ねらい,旭川中央,神居,12041,北海道,旭川市,神居６条１９丁目,2018/6/14,0,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,旭川中央,神居,12041,北海道,旭川市,神居８条１丁目,2018/10/21,21,その他,タイヤ・ホイール
窃盗,部品ねらい,旭川中央,春光台,12041,北海道,旭川市,春光台４条７丁目,2018/9/24,18,その他,その他
窃盗,部品ねらい,旭川中央,東鷹栖,12041,北海道,旭川市,東鷹栖４線１０号,2018/9/21,19,その他,その他
窃盗,部品ねらい,旭川中央,蘭留,14559,北海道,比布町,北８線１３号,2018/4/21,17,その他,ナンバープレート
窃盗,部品ねらい,旭川中央,忠和,12041,北海道,旭川市,神居町忠和,2018/7/14,14,駐車（輪）場,その他
窃盗,部品ねらい,旭川中央,忠和,12041,北海道,旭川市,台場４条１丁目,2018/8/7,20,一戸建住宅,その他
窃盗,部品ねらい,富良野,駅前,12297,北海道,富良野市,住吉町,2018/12/7,18,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,富良野,駅前,12297,北海道,富良野市,若松町,2016/12/1,不明,駐車（輪）場,その他
窃盗,部品ねらい,深川,一已,12289,北海道,深川市,北光町３丁目,2018/12/20,19,駐車（輪）場,その他
窃盗,部品ねらい,留萌,幸町,12122,北海道,留萌市,大町３丁目,2018/1/15,18,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,留萌,駅前,12122,北海道,留萌市,開運町３丁目,2018/3/20,18,駐車（輪）場,その他
窃盗,部品ねらい,留萌,駅前,12122,北海道,留萌市,千鳥町４丁目,2018/11/20,21,駐車（輪）場,その他
窃盗,部品ねらい,留萌,大和田,12122,北海道,留萌市,潮静１丁目,2018/4/16,17,一戸建住宅,その他
窃盗,部品ねらい,旭川東,二条通,12041,北海道,旭川市,１条通２４丁目,2018/6/7,7,駐車（輪）場,その他
窃盗,部品ねらい,旭川東,永山西,12041,北海道,旭川市,永山１条１０丁目,2018/4/12,14,その他,その他
窃盗,部品ねらい,旭川東,永山西,12041,北海道,旭川市,永山２条１２丁目,2018/10/31,19,その他,タイヤ・ホイール
窃盗,部品ねらい,旭川東,永山西,12041,北海道,旭川市,永山４条６丁目,2018/9/10,17,その他,カーナビ
窃盗,部品ねらい,旭川東,永山西,12041,北海道,旭川市,永山８条７丁目,2018/4/16,14,一戸建住宅,ナンバープレート
窃盗,部品ねらい,旭川東,東旭川,12041,北海道,旭川市,東旭川北１条５丁目,2018/9/2,22,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,釧路,城山,12068,北海道,釧路市,,2018/11/3,22,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,釧路,駅前,12068,北海道,釧路市,北大通１４丁目,2018/8/3,12,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,釧路,駅前,12068,北海道,釧路市,北大通１４丁目,2018/10/13,9,その他,その他
窃盗,部品ねらい,釧路,川北通,12068,北海道,釧路市,新富町,2017/11/11,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,釧路,共栄,12068,北海道,釧路市,中園町,2018/8/22,22,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,釧路,大楽毛,12068,北海道,釧路市,大楽毛北１丁目,2018/2/3,20,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,釧路,大楽毛,12068,北海道,釧路市,大楽毛南３丁目,2018/3/3,17,駐車（輪）場,その他
窃盗,部品ねらい,釧路,大楽毛,12068,北海道,釧路市,新野７線,2018/1/24,13,その他,ナンバープレート
窃盗,部品ねらい,釧路,鳥取西,12068,北海道,釧路市,鳥取大通７丁目,2018/2/20,11,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,釧路,鳥取西,12068,北海道,釧路市,鳥取南７丁目,2018/3/1,13,その他,その他
窃盗,部品ねらい,釧路,鳥取西,12068,北海道,釧路市,星が浦大通２丁目,2018/5/16,11,その他,タイヤ・ホイール
窃盗,部品ねらい,釧路,鳥取西,12068,北海道,釧路市,中鶴野,2016/6/1,0,駐車（輪）場,その他
窃盗,部品ねらい,釧路,鳥取西,12068,北海道,釧路市,中鶴野,2018/2/15,16,一戸建住宅,ナンバープレート
窃盗,部品ねらい,釧路,桂,16616,北海道,釧路町,国誉４丁目,2018/3/11,21,一戸建住宅,ナンバープレート
窃盗,部品ねらい,釧路,遠矢,16616,北海道,釧路町,鳥通東３丁目,2018/3/3,22,駐車（輪）場,その他
窃盗,部品ねらい,釧路,昭和,12068,北海道,釧路市,昭和中央４丁目,2018/7/28,15,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,弟子屈,署所在地,16659,北海道,弟子屈町,朝日２丁目,2018/4/28,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,根室,納沙布,12238,北海道,根室市,歯舞４丁目,2018/1/7,6,その他,その他
窃盗,部品ねらい,中標津,中央,16926,北海道,中標津町,東３２条北１丁目,2018/1/29,18,その他,タイヤ・ホイール
窃盗,部品ねらい,中標津,中央,16926,北海道,中標津町,東３３条北１丁目,2018/1/30,20,その他,タイヤ・ホイール
窃盗,部品ねらい,中標津,別海,16918,北海道,別海町,本別海,2018/1/1,11,その他,その他
窃盗,部品ねらい,中標津,川北,16934,北海道,標津町,字川北,2018/6/9,14,その他,その他
窃盗,部品ねらい,池田,署所在地,16446,北海道,池田町,,2018/11/22,19,駐車（輪）場,その他
窃盗,部品ねらい,帯広,西十七条,12076,北海道,帯広市,西１６条北１丁目,2018/9/1,0,その他,その他
窃盗,部品ねらい,帯広,東四条,12076,北海道,帯広市,東７条南１３丁目,2018/5/17,19,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,帯広,東四条,12076,北海道,帯広市,依田町,2018/5/25,15,一戸建住宅,その他
窃盗,部品ねらい,帯広,西五条,12076,北海道,帯広市,西３条南１７丁目,2018/8/28,23,その他の住宅（３階建て以下共同住宅等）,カーナビ
窃盗,部品ねらい,帯広,柏林台,12076,北海道,帯広市,,2017/12/31,10,その他,その他
窃盗,部品ねらい,帯広,柏林台,12076,北海道,帯広市,西１７条南１丁目,2018/9/4,18,その他,その他
窃盗,部品ねらい,帯広,西帯広,12076,北海道,帯広市,西２０条北２丁目,2017/11/1,10,その他,その他
窃盗,部品ねらい,帯広,西帯広,12076,北海道,帯広市,西２１条北１丁目,2018/9/8,17,その他,タイヤ・ホイール
窃盗,部品ねらい,帯広,西帯広,12076,北海道,帯広市,西２２条南１丁目,2018/7/7,18,その他,タイヤ・ホイール
窃盗,部品ねらい,帯広,十勝川温泉,16314,北海道,音更町,宝来西町南２丁目,2018/3/27,20,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,帯広,木野,16314,北海道,音更町,宝来西町南２丁目,2018/3/27,18,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,帯広,札内,16438,北海道,幕別町,札内共栄町,2018/7/8,13,一戸建住宅,その他
窃盗,部品ねらい,帯広,札内,16438,北海道,幕別町,字千住,2015/7/7,不明,その他,その他
窃盗,部品ねらい,帯広,札内,16438,北海道,幕別町,字千住,2018/2/16,21,その他,タイヤ・ホイール
窃盗,部品ねらい,帯広,上士幌,16331,北海道,上士幌町,,不明,不明,その他,その他
窃盗,部品ねらい,帯広,芽室,16373,北海道,芽室町,北伏古東８線,2018/8/3,8,その他,その他
窃盗,部品ねらい,帯広,芽室,16373,北海道,芽室町,,2018/8/5,20,その他,その他
窃盗,部品ねらい,帯広,芽室,16373,北海道,芽室町,東５条９丁目,2018/11/7,不明,その他,その他
窃盗,部品ねらい,帯広,芽室,16373,北海道,芽室町,東芽室基線,2018/1/8,9,その他,ナンバープレート
窃盗,部品ねらい,帯広,芽室,16373,北海道,芽室町,東芽室基線,2018/2/19,16,その他,その他
窃盗,部品ねらい,帯広,芽室,16373,北海道,芽室町,,2018/11/2,11,その他,ナンバープレート
窃盗,部品ねらい,北見,駅前,12084,北海道,北見市,大通西１丁目,2018/2/21,不明,その他,その他
